Date,Status,Action,Message,Connection,Details
"2025-12-01 20:08:39",ERROR,timeout,"Syndication timeout for post 46766 to Cannon County Source after 5 minutes","Cannon County Source","{""connection_id"":3,""elapsed_seconds"":25043,""started_at"":""2025-12-01 07:11:16""}"
"2025-12-01 13:20:07",INFO,,"Bug submitted: Posts staying in draft mode",-,bug_tracker
"2025-12-01 13:12:47",SUCCESS,sync_completed,"Sync completed: ""Powerball Jackpot Reaches $740 Million for December 1 Drawing"" successfully synced to Robertson County Source","Robertson County Source","{""hub_post_id"":46766,""spoke_post_id"":48815,""job_id"":""5vAU0Xr1wpgrCykRkQTbo9imZWpgc5MJ""}"
"2025-12-01 13:11:17",INFO,wake_up,"Spoke site is already awake","Robertson County Source","{""connection_name"":""Robertson County Source"",""response_code"":200}"
"2025-12-01 13:11:17",INFO,syndicate_queued,"Post ""Powerball Jackpot Reaches $740 Million for December 1 Drawing"" queued for syndication to Robertson County Source","Robertson County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""5vAU0Xr1wpgrCykRkQTbo9imZWpgc5MJ"",""status"":""processing""},""async"":true,""job_id"":""5vAU0Xr1wpgrCykRkQTbo9imZWpgc5MJ""}"
"2025-12-01 13:11:17",INFO,awaiting_create_completion,"Draft posts queued - delayed sync will be scheduled when all creates complete",-,"{""post_id"":46766,""spoke_count"":2}"
"2025-12-01 13:11:17",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46766,""post_title"":""Powerball Jackpot Reaches $740 Million for December 1 Drawing"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-12-01 13:11:16",SUCCESS,sync_completed,"Sync completed: ""Powerball Jackpot Reaches $740 Million for December 1 Drawing"" successfully synced to Cannon County Source","Cannon County Source","{""hub_post_id"":46766,""spoke_post_id"":47364,""job_id"":""tULurCDwtqKICDAC8Ti5yY9YLlOzUbEz""}"
"2025-12-01 13:11:16",INFO,syndicate_queued,"Post ""Powerball Jackpot Reaches $740 Million for December 1 Drawing"" queued for syndication to Cannon County Source","Cannon County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""tULurCDwtqKICDAC8Ti5yY9YLlOzUbEz"",""status"":""processing""},""async"":true,""job_id"":""tULurCDwtqKICDAC8Ti5yY9YLlOzUbEz""}"
"2025-12-01 13:11:16",INFO,debug_content,"DEBUG: Original post content: The Powerball jackpot has climbed to an estimated $740 million for the Monday, December 1, 2025 drawing after no ticket matched all six numbers in Saturday night's draw. The cash value for Monday's drawing stands at $346.1 million.

<strong>Latest Drawing Results</strong>

The winning numbers from the Saturday, November 29, 2025 drawing were 19, 22, 30, 32, 59, and Powerball 1. The Power Play multiplier was 2x.

While no ticket claimed the grand prize, one player in Florida matched all fiv",-,"{""full_content_length"":1103}"
"2025-12-01 13:11:16",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-12-01 13:11:16",INFO,yoast_skip,"Skipping Yoast data for draft creation - will be added in delayed sync","Robertson County Source","{""post_id"":46766}"
"2025-12-01 13:11:16",INFO,,"Custom Smart Links processing started for: Robertson County Source",-,[]
