Date,Status,Action,Message,Connection,Details
"2025-11-21 05:20:03",SUCCESS,sync_completed,"Sync completed: ""1981"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46737,""spoke_post_id"":47297,""job_id"":""TryPxfds1p8L1wEcnH4K4RsjX8lunfDS""}"
"2025-11-21 05:20:02",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46737,""post_title"":""1981"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 05:20:02",INFO,delayed_sync_scheduled,"Scheduled delayed sync in 20 seconds to add image, Yoast data, and publish",-,"{""post_id"":46737,""spoke_count"":1}"
"2025-11-21 05:20:01",INFO,spokes_found,"Found 1 selected spokes in POST data for first publish",-,"{""spoke_ids"":[1]}"
"2025-11-21 05:20:01",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46737,""post_title"":""1981"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 05:20:01",INFO,first_publish,"Triggering syndication for first publish (draft → publish)",-,"{""post_id"":46737,""post_title"":""1981"",""old_status"":""draft"",""new_status"":""publish""}"
"2025-11-21 05:20:01",INFO,draft_create,"Creating draft posts on spoke sites (no image yet)",-,"{""spoke_ids"":[1]}"
"2025-11-21 05:20:01",INFO,debug_content,"DEBUG: Original post content: 1981",-,"{""full_content_length"":4}"
"2025-11-21 05:20:01",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 05:20:01",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 05:20:01",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1981",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":4}"
"2025-11-21 05:20:01",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-21 05:20:01",INFO,yoast_skip,"Skipping Yoast data for draft creation - will be added in delayed sync",hub20spokesite,"{""post_id"":46737}"
"2025-11-21 05:20:01",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-21 05:20:01",INFO,syndicate_queued,"Post ""1981"" queued for syndication to hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""TryPxfds1p8L1wEcnH4K4RsjX8lunfDS"",""status"":""processing""},""async"":true,""job_id"":""TryPxfds1p8L1wEcnH4K4RsjX8lunfDS""}"
"2025-11-21 05:19:29",INFO,status_transition,"Status transition: auto-draft → draft",-,"{""post_id"":46737,""post_title"":""1981"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}"
"2025-11-21 05:19:29",INFO,status_transition,"Status transition: auto-draft → draft",-,"{""post_id"":46737,""post_title"":""1981"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}"
"2025-11-21 05:19:20",INFO,status_transition,"Status transition: new → auto-draft",-,"{""post_id"":46737,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}"
"2025-11-21 05:19:20",INFO,status_transition,"Status transition: new → auto-draft",-,"{""post_id"":46737,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}"
"2025-11-21 05:09:33",SUCCESS,sync_completed,"Sync completed: ""1980 - test"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46736,""spoke_post_id"":true,""job_id"":""451wpRc6FQLUD3RDD6Ei5xIoPUzFVBgj""}"
"2025-11-21 05:09:02",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1980 - test",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":11}"
"2025-11-21 05:09:02",INFO,update_queued,"Post ""1980 - test"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""451wpRc6FQLUD3RDD6Ei5xIoPUzFVBgj"",""status"":""processing""},""async"":true,""job_id"":""451wpRc6FQLUD3RDD6Ei5xIoPUzFVBgj""}"
"2025-11-21 05:09:02",INFO,update,"Syncing updates for post ""1980 - test"" to 1 existing spoke sites",-,"{""spoke_ids"":[1]}"
"2025-11-21 05:09:02",INFO,debug_content,"DEBUG: Original post content: 1980 - test",-,"{""full_content_length"":11}"
"2025-11-21 05:09:02",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 05:09:02",INFO,yoast_collect,"Collected Yoast data for ""1980 - test"" to send to hub20spokesite",hub20spokesite,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-21 05:09:02",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 05:09:02",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-21 05:09:02",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-21 05:09:02",INFO,update_queued,"Post ""1980 - test"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""fUJSgQ6voggYCWw8tl3qxIqb5DAcXUKQ"",""status"":""processing""},""async"":true,""job_id"":""fUJSgQ6voggYCWw8tl3qxIqb5DAcXUKQ""}"
"2025-11-21 05:09:01",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 05:09:01",INFO,status_transition,"Status transition: publish → publish",-,"{""post_id"":46736,""post_title"":""1980 - test"",""old_status"":""publish"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 05:09:01",INFO,status_transition,"Status transition: publish → publish",-,"{""post_id"":46736,""post_title"":""1980 - test"",""old_status"":""publish"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 05:09:01",INFO,update,"Syncing updates for post ""1980 - test"" to 1 existing spoke sites",-,"{""spoke_ids"":[1]}"
"2025-11-21 05:09:01",INFO,debug_content,"DEBUG: Original post content: 1980 - test",-,"{""full_content_length"":11}"
"2025-11-21 05:09:01",INFO,yoast_collect,"Collected Yoast data for ""1980 - test"" to send to hub20spokesite",hub20spokesite,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-21 05:09:01",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 05:09:01",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1980 - test",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":11}"
"2025-11-21 05:09:01",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-21 05:09:01",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-21 05:05:33",SUCCESS,sync_completed,"Sync completed: ""1980 - test"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46736,""spoke_post_id"":47295,""job_id"":""SyEpeToZdGYT8SNJYmEnwtoSR7Sls4k7""}"
"2025-11-21 05:05:29",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46736,""post_title"":""1980 - test"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 05:05:29",INFO,delayed_sync_scheduled,"Scheduled delayed sync in 20 seconds to add image, Yoast data, and publish",-,"{""post_id"":46736,""spoke_count"":1}"
