Date,Status,Action,Message,Connection,Details
"2025-12-02 19:27:21",WARNING,delayed_sync_locked,"Delayed sync blocked by existing lock",-,"{""sync_lock"":1764703638,""delayed_lock"":false,""yoast_lock"":false}"
"2025-12-02 19:27:21",INFO,syndicate_queued,"Post ""Test 1.9.9.3 Post 3"" queued for syndication to Spoke 2","Spoke 2","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""3mDjI5vRZxYqsvFDnFBHHXibxjB90wDY"",""status"":""processing""},""async"":true,""job_id"":""3mDjI5vRZxYqsvFDnFBHHXibxjB90wDY""}"
"2025-12-02 19:27:21",INFO,awaiting_create_completion,"Draft posts queued - delayed sync will be scheduled when all creates complete",-,"{""post_id"":46782,""spoke_count"":2}"
"2025-12-02 19:27:21",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46782,""post_title"":""Test 1.9.9.3 Post 3"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-12-02 19:27:20",SUCCESS,sync_completed,"Sync completed: ""Test 1.9.9.3 Post 3"" successfully synced to Spoke 2","Spoke 2","{""hub_post_id"":46782,""spoke_post_id"":46725,""job_id"":""3mDjI5vRZxYqsvFDnFBHHXibxjB90wDY""}"
"2025-12-02 19:27:20",INFO,delayed_sync_triggered,"All draft creates completed - triggering delayed sync in background to add image, Yoast data, and publish",-,"{""post_id"":46782,""spoke_count"":2}"
"2025-12-02 19:27:19",SUCCESS,sync_completed,"Sync completed: ""Test 1.9.9.3 Post 3"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46782,""spoke_post_id"":47434,""job_id"":""bQiWFW2m57tzE50u2KEJQjT2odx0Ubmu""}"
"2025-12-02 19:27:19",INFO,syndicate_queued,"Post ""Test 1.9.9.3 Post 3"" queued for syndication to hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""bQiWFW2m57tzE50u2KEJQjT2odx0Ubmu"",""status"":""processing""},""async"":true,""job_id"":""bQiWFW2m57tzE50u2KEJQjT2odx0Ubmu""}"
"2025-12-02 19:27:19",INFO,debug_content,"DEBUG: Original post content: Test 1.9.9.3 Post 3",-,"{""full_content_length"":19}"
"2025-12-02 19:27:19",INFO,gallery_sync,"No gallery images found in post content",-,[]
