Date,Status,Action,Message,Connection,Details
"2025-11-21 04:44:36",SUCCESS,sync_completed,"Sync completed: ""1978"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46732,""spoke_post_id"":47282,""job_id"":""zxqLeXBJmBQ2IELIbMyadjzmh6Sl7UCe""}"
"2025-11-21 04:44:06",INFO,update_queued,"Post ""1978"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""8zJfeQCak6VzUB9F996H0wmGH16QblsD"",""status"":""processing""},""async"":true,""job_id"":""8zJfeQCak6VzUB9F996H0wmGH16QblsD""}"
"2025-11-21 04:44:05",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 04:44:05",INFO,debug_content,"DEBUG: Original post content: 1978",-,"{""full_content_length"":4}"
"2025-11-21 04:44:05",WARNING,yoast_collect,"No Yoast data found for ""1978"" to send to hub20spokesite",hub20spokesite,"{""post_id"":46732}"
"2025-11-21 04:44:05",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 04:44:05",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1978",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":4}"
"2025-11-21 04:44:05",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-21 04:44:05",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-21 04:44:05",INFO,update_queued,"Post ""1978"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""lEx8hQ9awPqTw4lQ8PG4baRYTxjOFnRF"",""status"":""processing""},""async"":true,""job_id"":""lEx8hQ9awPqTw4lQ8PG4baRYTxjOFnRF""}"
"2025-11-21 04:44:05",INFO,update,"Syncing updates for post ""1978"" to 1 existing spoke sites",-,"{""spoke_ids"":[1]}"
"2025-11-21 04:44:05",INFO,debug_content,"DEBUG: Original post content: 1978",-,"{""full_content_length"":4}"
"2025-11-21 04:44:05",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 04:44:05",WARNING,yoast_collect,"No Yoast data found for ""1978"" to send to hub20spokesite",hub20spokesite,"{""post_id"":46732}"
"2025-11-21 04:44:05",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 04:44:05",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1978",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":4}"
"2025-11-21 04:44:05",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
